dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
medical	proba__2	4.03 (0.09)	0.2 (0.0)	0.0 (0.0)	3.16 (0.1)	0.2 (0.0)	0.0 (0.0)	0.87 (0.02)	0.2 (0.0)	0.0 (0.0)	0.5 (0.02)	0.82 (0.16)	0.2 (0.45)	0.41 (0.04)	0.68 (0.29)	0.2 (0.45)	0.67 (0.03)	0.84 (0.21)	0.4 (0.55)	0.53 (0.03)	0.84 (0.17)	0.4 (0.55)	0.61 (0.03)	0.78 (0.23)	0.4 (0.55)	0.32 (0.04)	0.68 (0.29)	0.2 (0.45)	0.5 (0.03)	0.84 (0.21)	0.4 (0.55)	0.51 (0.03)	0.86 (0.17)	0.4 (0.55)	0.49 (0.04)	0.8 (0.21)	0.4 (0.55)	0.62 (0.05)	0.74 (0.28)	0.4 (0.55)	0.91 (0.03)	0.78 (0.22)	0.4 (0.55)	0.56 (0.03)	0.84 (0.17)	0.4 (0.55)	0.8 (0.04)	0.7 (0.31)	0.4 (0.55)	0.33 (0.03)	0.7 (0.3)	0.2 (0.45)	0.52 (0.03)	0.84 (0.21)	0.4 (0.55)	0.51 (0.03)	0.84 (0.17)	0.4 (0.55)	0.52 (0.03)	0.84 (0.21)	0.4 (0.55)
medical	proba__3	5.13 (0.07)	0.3 (0.0)	0.0 (0.0)	4.12 (0.06)	0.3 (0.0)	0.0 (0.0)	1.01 (0.03)	0.3 (0.0)	0.0 (0.0)	0.48 (0.05)	0.67 (0.34)	0.4 (0.55)	0.39 (0.05)	0.6 (0.39)	0.2 (0.45)	0.65 (0.04)	0.62 (0.36)	0.2 (0.45)	0.51 (0.04)	0.62 (0.36)	0.2 (0.45)	0.59 (0.05)	0.62 (0.43)	0.2 (0.45)	0.3 (0.04)	0.6 (0.39)	0.2 (0.45)	0.48 (0.04)	0.62 (0.36)	0.2 (0.45)	0.49 (0.04)	0.62 (0.34)	0.0 (0.0)	0.48 (0.04)	0.62 (0.36)	0.2 (0.45)	0.57 (0.09)	0.46 (0.29)	0.0 (0.0)	0.91 (0.02)	0.74 (0.21)	0.0 (0.0)	0.54 (0.04)	0.61 (0.34)	0.2 (0.45)	0.78 (0.05)	0.58 (0.4)	0.0 (0.0)	0.31 (0.04)	0.56 (0.39)	0.2 (0.45)	0.51 (0.04)	0.57 (0.38)	0.2 (0.45)	0.5 (0.04)	0.61 (0.35)	0.0 (0.0)	0.51 (0.04)	0.57 (0.38)	0.2 (0.45)
medical	proba__4	6.22 (0.14)	0.4 (0.0)	0.0 (0.0)	5.05 (0.1)	0.4 (0.0)	0.0 (0.0)	1.16 (0.07)	0.4 (0.0)	0.0 (0.0)	0.49 (0.02)	0.7 (0.13)	0.0 (0.0)	0.42 (0.02)	0.8 (0.16)	0.2 (0.45)	0.65 (0.01)	0.66 (0.11)	0.0 (0.0)	0.51 (0.01)	0.7 (0.12)	0.0 (0.0)	0.6 (0.01)	0.76 (0.09)	0.0 (0.0)	0.32 (0.02)	0.76 (0.18)	0.2 (0.45)	0.48 (0.01)	0.66 (0.11)	0.0 (0.0)	0.5 (0.01)	0.69 (0.12)	0.0 (0.0)	0.48 (0.01)	0.68 (0.15)	0.0 (0.0)	0.65 (0.03)	0.84 (0.15)	0.2 (0.45)	0.9 (0.01)	0.58 (0.3)	0.0 (0.0)	0.54 (0.02)	0.71 (0.13)	0.0 (0.0)	0.81 (0.01)	0.8 (0.16)	0.2 (0.45)	0.33 (0.02)	0.76 (0.18)	0.2 (0.45)	0.51 (0.01)	0.68 (0.13)	0.0 (0.0)	0.5 (0.01)	0.73 (0.12)	0.0 (0.0)	0.51 (0.01)	0.68 (0.13)	0.0 (0.0)
medical	proba__5	7.24 (0.09)	0.5 (0.0)	0.0 (0.0)	5.91 (0.08)	0.5 (0.0)	0.0 (0.0)	1.33 (0.03)	0.5 (0.0)	0.0 (0.0)	0.46 (0.02)	0.45 (0.24)	0.0 (0.0)	0.39 (0.02)	0.5 (0.27)	0.0 (0.0)	0.63 (0.02)	0.48 (0.28)	0.0 (0.0)	0.49 (0.02)	0.5 (0.23)	0.0 (0.0)	0.58 (0.02)	0.44 (0.25)	0.0 (0.0)	0.3 (0.02)	0.54 (0.23)	0.0 (0.0)	0.46 (0.02)	0.48 (0.28)	0.0 (0.0)	0.47 (0.03)	0.52 (0.24)	0.0 (0.0)	0.46 (0.02)	0.46 (0.26)	0.0 (0.0)	0.62 (0.06)	0.66 (0.34)	0.2 (0.45)	0.9 (0.03)	0.56 (0.26)	0.2 (0.45)	0.52 (0.02)	0.49 (0.23)	0.0 (0.0)	0.8 (0.03)	0.64 (0.29)	0.2 (0.45)	0.31 (0.02)	0.5 (0.23)	0.0 (0.0)	0.48 (0.02)	0.48 (0.25)	0.0 (0.0)	0.48 (0.02)	0.5 (0.23)	0.0 (0.0)	0.48 (0.02)	0.48 (0.25)	0.0 (0.0)
medical	proba__6	8.35 (0.23)	0.6 (0.0)	0.0 (0.0)	6.86 (0.17)	0.6 (0.0)	0.0 (0.0)	1.49 (0.08)	0.62 (0.04)	0.0 (0.0)	0.47 (0.04)	0.46 (0.36)	0.2 (0.45)	0.4 (0.04)	0.56 (0.32)	0.2 (0.45)	0.64 (0.04)	0.5 (0.3)	0.2 (0.45)	0.49 (0.03)	0.46 (0.26)	0.0 (0.0)	0.59 (0.03)	0.5 (0.3)	0.2 (0.45)	0.3 (0.04)	0.52 (0.36)	0.2 (0.45)	0.47 (0.04)	0.5 (0.3)	0.2 (0.45)	0.48 (0.03)	0.46 (0.15)	0.0 (0.0)	0.46 (0.04)	0.48 (0.33)	0.2 (0.45)	0.61 (0.05)	0.64 (0.24)	0.0 (0.0)	0.89 (0.03)	0.52 (0.35)	0.2 (0.45)	0.52 (0.03)	0.44 (0.31)	0.2 (0.45)	0.79 (0.02)	0.58 (0.29)	0.0 (0.0)	0.32 (0.04)	0.52 (0.36)	0.2 (0.45)	0.49 (0.04)	0.5 (0.3)	0.2 (0.45)	0.48 (0.02)	0.44 (0.15)	0.0 (0.0)	0.49 (0.04)	0.5 (0.3)	0.2 (0.45)
medical	proba__7	9.45 (0.27)	0.7 (0.0)	0.0 (0.0)	7.84 (0.23)	0.7 (0.0)	0.0 (0.0)	1.61 (0.06)	0.68 (0.04)	0.0 (0.0)	0.43 (0.02)	0.28 (0.15)	0.0 (0.0)	0.36 (0.03)	0.3 (0.31)	0.0 (0.0)	0.6 (0.02)	0.22 (0.08)	0.0 (0.0)	0.46 (0.01)	0.24 (0.11)	0.0 (0.0)	0.55 (0.01)	0.26 (0.05)	0.0 (0.0)	0.27 (0.02)	0.28 (0.25)	0.0 (0.0)	0.43 (0.02)	0.22 (0.08)	0.0 (0.0)	0.45 (0.01)	0.25 (0.13)	0.0 (0.0)	0.43 (0.02)	0.22 (0.08)	0.0 (0.0)	0.56 (0.05)	0.34 (0.29)	0.0 (0.0)	0.88 (0.03)	0.38 (0.22)	0.0 (0.0)	0.49 (0.01)	0.2 (0.07)	0.0 (0.0)	0.76 (0.03)	0.4 (0.19)	0.0 (0.0)	0.28 (0.02)	0.28 (0.15)	0.0 (0.0)	0.46 (0.02)	0.22 (0.08)	0.0 (0.0)	0.45 (0.01)	0.27 (0.13)	0.0 (0.0)	0.46 (0.02)	0.22 (0.08)	0.0 (0.0)
medical	proba__8	10.45 (0.19)	0.8 (0.0)	0.0 (0.0)	8.65 (0.15)	0.8 (0.0)	0.0 (0.0)	1.8 (0.09)	0.8 (0.0)	0.0 (0.0)	0.46 (0.04)	0.46 (0.29)	0.0 (0.0)	0.38 (0.03)	0.46 (0.28)	0.0 (0.0)	0.63 (0.04)	0.48 (0.36)	0.0 (0.0)	0.49 (0.03)	0.44 (0.34)	0.0 (0.0)	0.57 (0.04)	0.46 (0.34)	0.0 (0.0)	0.29 (0.03)	0.5 (0.35)	0.0 (0.0)	0.46 (0.04)	0.48 (0.36)	0.0 (0.0)	0.47 (0.03)	0.4 (0.33)	0.0 (0.0)	0.45 (0.04)	0.5 (0.33)	0.0 (0.0)	0.58 (0.03)	0.4 (0.25)	0.0 (0.0)	0.9 (0.03)	0.54 (0.29)	0.0 (0.0)	0.52 (0.04)	0.44 (0.33)	0.0 (0.0)	0.76 (0.03)	0.34 (0.21)	0.0 (0.0)	0.3 (0.03)	0.46 (0.38)	0.0 (0.0)	0.48 (0.04)	0.46 (0.34)	0.0 (0.0)	0.48 (0.03)	0.4 (0.33)	0.0 (0.0)	0.48 (0.04)	0.46 (0.34)	0.0 (0.0)
medical	proba__9	11.53 (0.14)	0.9 (0.0)	0.0 (0.0)	9.58 (0.14)	0.9 (0.0)	0.0 (0.0)	1.95 (0.05)	0.9 (0.0)	0.0 (0.0)	0.45 (0.01)	0.4 (0.12)	0.0 (0.0)	0.38 (0.03)	0.44 (0.29)	0.0 (0.0)	0.62 (0.01)	0.4 (0.16)	0.0 (0.0)	0.49 (0.03)	0.42 (0.22)	0.0 (0.0)	0.57 (0.01)	0.4 (0.16)	0.0 (0.0)	0.29 (0.02)	0.5 (0.22)	0.0 (0.0)	0.45 (0.01)	0.4 (0.16)	0.0 (0.0)	0.47 (0.03)	0.42 (0.28)	0.0 (0.0)	0.45 (0.01)	0.4 (0.16)	0.0 (0.0)	0.58 (0.05)	0.42 (0.29)	0.0 (0.0)	0.89 (0.02)	0.6 (0.42)	0.2 (0.45)	0.52 (0.02)	0.48 (0.18)	0.0 (0.0)	0.77 (0.03)	0.48 (0.39)	0.2 (0.45)	0.3 (0.02)	0.44 (0.18)	0.0 (0.0)	0.48 (0.02)	0.42 (0.16)	0.0 (0.0)	0.47 (0.03)	0.4 (0.25)	0.0 (0.0)	0.48 (0.02)	0.42 (0.16)	0.0 (0.0)
scene	proba__1	2.69 (0.08)	0.1 (0.0)	0.0 (0.0)	2.21 (0.09)	0.1 (0.0)	0.0 (0.0)	0.48 (0.03)	0.1 (0.0)	0.0 (0.0)	0.61 (0.02)	0.12 (0.04)	0.0 (0.0)	0.74 (0.02)	0.12 (0.04)	0.0 (0.0)	0.74 (0.02)	0.16 (0.09)	0.0 (0.0)	0.65 (0.02)	0.1 (0.0)	0.0 (0.0)	0.73 (0.02)	0.12 (0.04)	0.0 (0.0)	0.6 (0.02)	0.12 (0.04)	0.0 (0.0)	0.58 (0.02)	0.16 (0.09)	0.0 (0.0)	0.64 (0.02)	0.1 (0.0)	0.0 (0.0)	0.59 (0.02)	0.12 (0.04)	0.0 (0.0)	0.89 (0.02)	0.92 (0.08)	0.4 (0.55)	0.9 (0.02)	0.98 (0.04)	0.8 (0.45)	0.66 (0.01)	0.1 (0.0)	0.0 (0.0)	0.89 (0.02)	0.96 (0.09)	0.8 (0.45)	0.64 (0.02)	0.1 (0.0)	0.0 (0.0)	0.62 (0.02)	0.1 (0.0)	0.0 (0.0)	0.64 (0.02)	0.1 (0.0)	0.0 (0.0)	0.62 (0.02)	0.1 (0.0)	0.0 (0.0)
scene	proba__10	12.59 (0.29)	1.0 (0.0)	1.0 (0.0)	10.72 (0.2)	1.0 (0.0)	1.0 (0.0)	1.87 (0.09)	1.0 (0.0)	1.0 (0.0)	0.68 (0.02)	0.64 (0.23)	0.0 (0.0)	0.77 (0.02)	0.64 (0.32)	0.0 (0.0)	0.77 (0.02)	0.66 (0.34)	0.2 (0.45)	0.72 (0.01)	0.7 (0.2)	0.0 (0.0)	0.76 (0.02)	0.68 (0.33)	0.2 (0.45)	0.65 (0.02)	0.64 (0.32)	0.0 (0.0)	0.62 (0.02)	0.66 (0.34)	0.2 (0.45)	0.71 (0.01)	0.7 (0.2)	0.0 (0.0)	0.63 (0.02)	0.64 (0.32)	0.0 (0.0)	0.85 (0.02)	0.44 (0.28)	0.0 (0.0)	0.85 (0.02)	0.4 (0.3)	0.0 (0.0)	0.74 (0.01)	0.68 (0.19)	0.0 (0.0)	0.84 (0.02)	0.44 (0.28)	0.0 (0.0)	0.71 (0.02)	0.68 (0.22)	0.0 (0.0)	0.7 (0.02)	0.66 (0.25)	0.0 (0.0)	0.72 (0.01)	0.68 (0.22)	0.0 (0.0)	0.7 (0.02)	0.66 (0.25)	0.0 (0.0)
scene	proba__2	3.87 (0.13)	0.2 (0.0)	0.0 (0.0)	3.21 (0.08)	0.2 (0.0)	0.0 (0.0)	0.65 (0.06)	0.2 (0.0)	0.0 (0.0)	0.65 (0.02)	0.3 (0.2)	0.0 (0.0)	0.76 (0.02)	0.38 (0.24)	0.0 (0.0)	0.75 (0.02)	0.46 (0.29)	0.0 (0.0)	0.69 (0.02)	0.26 (0.13)	0.0 (0.0)	0.75 (0.02)	0.38 (0.23)	0.0 (0.0)	0.63 (0.02)	0.42 (0.26)	0.0 (0.0)	0.61 (0.02)	0.46 (0.29)	0.0 (0.0)	0.68 (0.02)	0.26 (0.13)	0.0 (0.0)	0.61 (0.02)	0.42 (0.26)	0.0 (0.0)	0.88 (0.02)	0.78 (0.28)	0.2 (0.45)	0.88 (0.02)	0.76 (0.21)	0.0 (0.0)	0.7 (0.02)	0.26 (0.13)	0.0 (0.0)	0.87 (0.02)	0.76 (0.26)	0.0 (0.0)	0.68 (0.02)	0.28 (0.18)	0.0 (0.0)	0.66 (0.02)	0.28 (0.18)	0.0 (0.0)	0.68 (0.02)	0.26 (0.13)	0.0 (0.0)	0.66 (0.02)	0.28 (0.18)	0.0 (0.0)
scene	proba__3	4.93 (0.19)	0.3 (0.0)	0.0 (0.0)	4.15 (0.16)	0.3 (0.0)	0.0 (0.0)	0.78 (0.05)	0.3 (0.0)	0.0 (0.0)	0.68 (0.02)	0.54 (0.23)	0.0 (0.0)	0.77 (0.01)	0.68 (0.16)	0.0 (0.0)	0.77 (0.01)	0.68 (0.16)	0.0 (0.0)	0.71 (0.01)	0.56 (0.23)	0.0 (0.0)	0.76 (0.01)	0.66 (0.19)	0.0 (0.0)	0.65 (0.01)	0.66 (0.15)	0.0 (0.0)	0.62 (0.01)	0.68 (0.16)	0.0 (0.0)	0.7 (0.02)	0.54 (0.23)	0.0 (0.0)	0.63 (0.01)	0.68 (0.16)	0.0 (0.0)	0.87 (0.02)	0.7 (0.25)	0.2 (0.45)	0.87 (0.02)	0.74 (0.18)	0.2 (0.45)	0.73 (0.01)	0.58 (0.2)	0.0 (0.0)	0.86 (0.02)	0.7 (0.25)	0.2 (0.45)	0.7 (0.01)	0.58 (0.23)	0.0 (0.0)	0.69 (0.01)	0.56 (0.22)	0.0 (0.0)	0.71 (0.01)	0.54 (0.23)	0.0 (0.0)	0.69 (0.01)	0.56 (0.22)	0.0 (0.0)
scene	proba__4	6.06 (0.15)	0.4 (0.0)	0.0 (0.0)	5.12 (0.18)	0.4 (0.0)	0.0 (0.0)	0.94 (0.04)	0.4 (0.0)	0.0 (0.0)	0.67 (0.03)	0.58 (0.29)	0.2 (0.45)	0.77 (0.02)	0.58 (0.33)	0.2 (0.45)	0.76 (0.02)	0.54 (0.34)	0.2 (0.45)	0.71 (0.03)	0.58 (0.31)	0.2 (0.45)	0.76 (0.02)	0.56 (0.32)	0.2 (0.45)	0.64 (0.03)	0.54 (0.34)	0.2 (0.45)	0.62 (0.03)	0.54 (0.34)	0.2 (0.45)	0.7 (0.03)	0.58 (0.31)	0.2 (0.45)	0.62 (0.03)	0.52 (0.33)	0.2 (0.45)	0.86 (0.02)	0.54 (0.17)	0.0 (0.0)	0.86 (0.01)	0.52 (0.19)	0.0 (0.0)	0.73 (0.03)	0.58 (0.31)	0.2 (0.45)	0.85 (0.02)	0.52 (0.19)	0.0 (0.0)	0.7 (0.03)	0.6 (0.31)	0.2 (0.45)	0.69 (0.03)	0.6 (0.31)	0.2 (0.45)	0.71 (0.03)	0.6 (0.31)	0.2 (0.45)	0.69 (0.03)	0.6 (0.31)	0.2 (0.45)
scene	proba__5	7.05 (0.33)	0.5 (0.0)	0.0 (0.0)	6.01 (0.29)	0.5 (0.0)	0.0 (0.0)	1.04 (0.09)	0.5 (0.0)	0.0 (0.0)	0.68 (0.02)	0.6 (0.22)	0.0 (0.0)	0.78 (0.01)	0.6 (0.29)	0.2 (0.45)	0.77 (0.02)	0.62 (0.31)	0.2 (0.45)	0.72 (0.02)	0.62 (0.28)	0.2 (0.45)	0.76 (0.02)	0.62 (0.31)	0.2 (0.45)	0.65 (0.02)	0.6 (0.29)	0.2 (0.45)	0.63 (0.02)	0.62 (0.31)	0.2 (0.45)	0.71 (0.02)	0.64 (0.27)	0.2 (0.45)	0.63 (0.02)	0.62 (0.31)	0.2 (0.45)	0.86 (0.01)	0.48 (0.33)	0.2 (0.45)	0.86 (0.01)	0.46 (0.29)	0.0 (0.0)	0.74 (0.02)	0.62 (0.28)	0.2 (0.45)	0.85 (0.01)	0.46 (0.29)	0.0 (0.0)	0.71 (0.02)	0.66 (0.29)	0.2 (0.45)	0.7 (0.02)	0.68 (0.31)	0.4 (0.55)	0.72 (0.02)	0.68 (0.25)	0.0 (0.0)	0.7 (0.02)	0.68 (0.31)	0.4 (0.55)
scene	proba__6	8.26 (0.32)	0.6 (0.0)	0.0 (0.0)	7.03 (0.27)	0.6 (0.0)	0.0 (0.0)	1.23 (0.12)	0.62 (0.04)	0.0 (0.0)	0.68 (0.03)	0.62 (0.32)	0.2 (0.45)	0.77 (0.02)	0.64 (0.33)	0.2 (0.45)	0.77 (0.02)	0.58 (0.38)	0.2 (0.45)	0.72 (0.02)	0.6 (0.24)	0.0 (0.0)	0.76 (0.02)	0.64 (0.33)	0.2 (0.45)	0.65 (0.03)	0.62 (0.33)	0.2 (0.45)	0.62 (0.03)	0.58 (0.38)	0.2 (0.45)	0.71 (0.02)	0.6 (0.24)	0.0 (0.0)	0.63 (0.03)	0.62 (0.33)	0.2 (0.45)	0.85 (0.02)	0.46 (0.34)	0.0 (0.0)	0.85 (0.02)	0.44 (0.32)	0.0 (0.0)	0.74 (0.01)	0.62 (0.26)	0.0 (0.0)	0.85 (0.02)	0.44 (0.32)	0.0 (0.0)	0.71 (0.02)	0.6 (0.24)	0.0 (0.0)	0.7 (0.02)	0.62 (0.22)	0.0 (0.0)	0.72 (0.02)	0.62 (0.28)	0.2 (0.45)	0.7 (0.02)	0.62 (0.22)	0.0 (0.0)
scene	proba__7	9.07 (0.47)	0.7 (0.0)	0.0 (0.0)	7.73 (0.37)	0.7 (0.0)	0.0 (0.0)	1.34 (0.15)	0.7 (0.07)	0.0 (0.0)	0.69 (0.02)	0.72 (0.26)	0.2 (0.45)	0.78 (0.02)	0.62 (0.25)	0.2 (0.45)	0.77 (0.02)	0.61 (0.22)	0.0 (0.0)	0.73 (0.02)	0.72 (0.27)	0.4 (0.55)	0.76 (0.02)	0.64 (0.23)	0.0 (0.0)	0.65 (0.03)	0.62 (0.25)	0.2 (0.45)	0.62 (0.02)	0.61 (0.22)	0.0 (0.0)	0.72 (0.02)	0.74 (0.26)	0.4 (0.55)	0.63 (0.02)	0.64 (0.25)	0.2 (0.45)	0.85 (0.02)	0.44 (0.19)	0.0 (0.0)	0.85 (0.02)	0.44 (0.19)	0.0 (0.0)	0.74 (0.02)	0.72 (0.27)	0.4 (0.55)	0.84 (0.02)	0.44 (0.19)	0.0 (0.0)	0.71 (0.02)	0.68 (0.24)	0.2 (0.45)	0.7 (0.02)	0.68 (0.24)	0.2 (0.45)	0.72 (0.02)	0.74 (0.24)	0.4 (0.55)	0.7 (0.02)	0.68 (0.24)	0.2 (0.45)
scene	proba__8	10.21 (0.4)	0.8 (0.0)	0.0 (0.0)	8.7 (0.32)	0.8 (0.0)	0.0 (0.0)	1.51 (0.13)	0.78 (0.04)	0.0 (0.0)	0.68 (0.01)	0.66 (0.18)	0.0 (0.0)	0.77 (0.01)	0.56 (0.17)	0.0 (0.0)	0.77 (0.01)	0.54 (0.17)	0.0 (0.0)	0.72 (0.02)	0.68 (0.18)	0.0 (0.0)	0.76 (0.01)	0.54 (0.17)	0.0 (0.0)	0.64 (0.01)	0.6 (0.2)	0.0 (0.0)	0.62 (0.01)	0.54 (0.17)	0.0 (0.0)	0.71 (0.01)	0.66 (0.18)	0.0 (0.0)	0.63 (0.01)	0.58 (0.18)	0.0 (0.0)	0.85 (0.0)	0.32 (0.19)	0.0 (0.0)	0.85 (0.0)	0.36 (0.21)	0.0 (0.0)	0.74 (0.02)	0.66 (0.22)	0.0 (0.0)	0.84 (0.0)	0.36 (0.23)	0.0 (0.0)	0.71 (0.01)	0.66 (0.19)	0.0 (0.0)	0.7 (0.01)	0.68 (0.19)	0.0 (0.0)	0.72 (0.02)	0.64 (0.19)	0.0 (0.0)	0.7 (0.01)	0.68 (0.19)	0.0 (0.0)
scene	proba__9	11.48 (0.24)	0.9 (0.0)	0.0 (0.0)	9.74 (0.2)	0.9 (0.0)	0.0 (0.0)	1.74 (0.14)	0.9 (0.0)	0.0 (0.0)	0.69 (0.04)	0.72 (0.36)	0.4 (0.55)	0.78 (0.03)	0.68 (0.33)	0.2 (0.45)	0.77 (0.03)	0.65 (0.31)	0.2 (0.45)	0.73 (0.03)	0.68 (0.33)	0.2 (0.45)	0.77 (0.03)	0.66 (0.31)	0.2 (0.45)	0.65 (0.04)	0.68 (0.33)	0.2 (0.45)	0.63 (0.04)	0.65 (0.31)	0.2 (0.45)	0.72 (0.03)	0.68 (0.33)	0.2 (0.45)	0.63 (0.04)	0.66 (0.31)	0.2 (0.45)	0.86 (0.03)	0.42 (0.29)	0.0 (0.0)	0.85 (0.03)	0.4 (0.29)	0.0 (0.0)	0.74 (0.03)	0.68 (0.33)	0.2 (0.45)	0.85 (0.03)	0.42 (0.29)	0.0 (0.0)	0.72 (0.03)	0.66 (0.36)	0.4 (0.55)	0.7 (0.03)	0.64 (0.34)	0.2 (0.45)	0.72 (0.03)	0.64 (0.33)	0.2 (0.45)	0.7 (0.03)	0.64 (0.34)	0.2 (0.45)
yeast	proba__1	3.05 (0.05)	0.1 (0.0)	0.0 (0.0)	2.43 (0.08)	0.1 (0.0)	0.0 (0.0)	0.62 (0.05)	0.1 (0.0)	0.0 (0.0)	0.21 (0.01)	0.72 (0.18)	0.2 (0.45)	0.4 (0.01)	0.3 (0.23)	0.0 (0.0)	0.65 (0.01)	0.62 (0.24)	0.0 (0.0)	0.62 (0.0)	0.66 (0.11)	0.0 (0.0)	0.6 (0.01)	0.32 (0.19)	0.0 (0.0)	0.3 (0.01)	0.32 (0.18)	0.0 (0.0)	0.49 (0.01)	0.62 (0.24)	0.0 (0.0)	0.53 (0.01)	0.7 (0.16)	0.0 (0.0)	0.47 (0.01)	0.44 (0.23)	0.0 (0.0)	0.59 (0.07)	0.72 (0.41)	0.6 (0.55)	0.73 (0.01)	0.84 (0.18)	0.4 (0.55)	0.72 (0.01)	0.88 (0.16)	0.6 (0.55)	0.7 (0.02)	0.78 (0.27)	0.4 (0.55)	0.37 (0.01)	0.16 (0.09)	0.0 (0.0)	0.59 (0.02)	0.38 (0.27)	0.0 (0.0)	0.6 (0.01)	0.32 (0.22)	0.0 (0.0)	0.59 (0.02)	0.38 (0.27)	0.0 (0.0)
yeast	proba__10	12.54 (0.25)	1.0 (0.0)	1.0 (0.0)	10.52 (0.27)	1.0 (0.0)	1.0 (0.0)	2.02 (0.09)	1.0 (0.0)	1.0 (0.0)	0.17 (0.01)	0.14 (0.05)	0.0 (0.0)	0.41 (0.01)	0.42 (0.29)	0.0 (0.0)	0.64 (0.0)	0.18 (0.08)	0.0 (0.0)	0.61 (0.01)	0.22 (0.16)	0.0 (0.0)	0.6 (0.0)	0.28 (0.15)	0.0 (0.0)	0.3 (0.01)	0.34 (0.13)	0.0 (0.0)	0.47 (0.01)	0.18 (0.08)	0.0 (0.0)	0.5 (0.01)	0.2 (0.17)	0.0 (0.0)	0.46 (0.0)	0.24 (0.17)	0.0 (0.0)	0.54 (0.03)	0.5 (0.16)	0.0 (0.0)	0.69 (0.02)	0.2 (0.17)	0.0 (0.0)	0.68 (0.01)	0.22 (0.08)	0.0 (0.0)	0.67 (0.02)	0.4 (0.21)	0.0 (0.0)	0.39 (0.0)	0.68 (0.11)	0.0 (0.0)	0.6 (0.01)	0.38 (0.22)	0.0 (0.0)	0.6 (0.01)	0.42 (0.28)	0.0 (0.0)	0.6 (0.01)	0.38 (0.22)	0.0 (0.0)
yeast	proba__2	4.15 (0.07)	0.2 (0.0)	0.0 (0.0)	3.37 (0.09)	0.2 (0.0)	0.0 (0.0)	0.78 (0.05)	0.2 (0.0)	0.0 (0.0)	0.22 (0.01)	0.82 (0.11)	0.0 (0.0)	0.41 (0.01)	0.42 (0.24)	0.0 (0.0)	0.66 (0.01)	0.78 (0.13)	0.2 (0.45)	0.63 (0.01)	0.78 (0.28)	0.2 (0.45)	0.61 (0.01)	0.52 (0.22)	0.0 (0.0)	0.3 (0.01)	0.52 (0.22)	0.0 (0.0)	0.49 (0.01)	0.78 (0.13)	0.2 (0.45)	0.53 (0.01)	0.8 (0.19)	0.2 (0.45)	0.48 (0.01)	0.66 (0.19)	0.0 (0.0)	0.58 (0.05)	0.66 (0.27)	0.2 (0.45)	0.72 (0.01)	0.76 (0.21)	0.2 (0.45)	0.71 (0.02)	0.76 (0.24)	0.2 (0.45)	0.69 (0.01)	0.68 (0.16)	0.0 (0.0)	0.38 (0.01)	0.42 (0.23)	0.0 (0.0)	0.61 (0.01)	0.6 (0.31)	0.2 (0.45)	0.61 (0.01)	0.62 (0.29)	0.0 (0.0)	0.61 (0.01)	0.6 (0.31)	0.2 (0.45)
yeast	proba__3	5.11 (0.17)	0.3 (0.0)	0.0 (0.0)	4.2 (0.14)	0.3 (0.0)	0.0 (0.0)	0.91 (0.04)	0.3 (0.0)	0.0 (0.0)	0.22 (0.02)	0.76 (0.21)	0.2 (0.45)	0.41 (0.01)	0.52 (0.36)	0.0 (0.0)	0.65 (0.0)	0.56 (0.17)	0.0 (0.0)	0.62 (0.01)	0.56 (0.21)	0.0 (0.0)	0.6 (0.01)	0.5 (0.27)	0.0 (0.0)	0.3 (0.01)	0.48 (0.35)	0.0 (0.0)	0.48 (0.01)	0.56 (0.17)	0.0 (0.0)	0.52 (0.01)	0.62 (0.16)	0.0 (0.0)	0.47 (0.01)	0.44 (0.18)	0.0 (0.0)	0.59 (0.08)	0.74 (0.36)	0.2 (0.45)	0.71 (0.01)	0.64 (0.22)	0.0 (0.0)	0.7 (0.01)	0.62 (0.29)	0.0 (0.0)	0.68 (0.04)	0.72 (0.36)	0.2 (0.45)	0.38 (0.01)	0.34 (0.09)	0.0 (0.0)	0.6 (0.01)	0.48 (0.2)	0.0 (0.0)	0.61 (0.01)	0.48 (0.15)	0.0 (0.0)	0.6 (0.01)	0.48 (0.2)	0.0 (0.0)
